p1,p2,LLC
2,3,1.3408223390579224
2,5,3.320568561553955
2,7,4.42076301574707
2,11,11.996603965759277
2,13,12.797371864318848
2,17,28.92135238647461
2,19,34.85564422607422
2,23,49.758514404296875
2,29,78.67146301269531
2,31,97.15178680419922
2,37,126.73650360107422
2,41,161.49131774902344
2,43,171.69815063476562
2,47,195.72837829589844
2,53,264.5015563964844
2,59,323.1375427246094
2,61,296.5345458984375
2,67,376.0788879394531
2,71,428.5379638671875
2,73,443.89886474609375
2,79,611.3696899414062
2,83,639.659912109375
2,89,779.8859252929688
2,97,1044.018310546875
3,5,5.793419361114502
3,7,11.251394271850586
3,11,24.816707611083984
3,13,42.42323303222656
3,17,66.74698638916016
3,19,71.3872299194336
3,23,98.46954345703125
3,29,133.1232147216797
3,31,174.24114990234375
3,37,248.04684448242188
3,41,289.0402526855469
3,43,322.57952880859375
3,47,395.8292541503906
3,53,539.454345703125
3,59,595.908447265625
3,61,577.0650634765625
3,67,742.6261596679688
3,71,1000.5432739257812
3,73,881.780029296875
3,79,1196.861328125
3,83,1641.937744140625
3,89,2033.8541259765625
3,97,2231.10400390625
5,7,23.233524322509766
5,11,59.99555206298828
5,13,77.2765884399414
5,17,104.55201721191406
5,19,152.53485107421875
5,23,229.0995635986328
5,29,313.5829162597656
5,31,386.3979187011719
5,37,522.595458984375
5,41,595.3790893554688
5,43,708.296875
5,47,875.8523559570312
5,53,1315.5343017578125
5,59,1871.351318359375
5,61,1920.546630859375
5,67,3109.609130859375
5,71,4361.34375
5,73,4139.93212890625
5,79,5074.83349609375
5,83,6735.310546875
5,89,9767.9267578125
5,97,12735.251953125
7,11,77.9682388305664
7,13,122.11298370361328
7,17,170.12266540527344
7,19,228.83958435058594
7,23,339.6983642578125
7,29,536.8126831054688
7,31,660.3193359375
7,37,1076.0245361328125
7,41,1508.61962890625
7,43,1641.5938720703125
7,47,2116.066162109375
7,53,3545.524169921875
7,59,5277.9462890625
7,61,5910.2783203125
7,67,9343.75390625
7,71,11737.912109375
7,73,14307.73046875
7,79,20243.884765625
7,83,25599.431640625
7,89,36511.203125
7,97,52406.33984375
11,13,237.54510498046875
11,17,421.40814208984375
11,19,525.5496215820312
11,23,715.31494140625
11,29,1821.343505859375
11,31,1992.4725341796875
11,37,4377.75830078125
11,41,6928.78759765625
11,43,7570.787109375
11,47,12142.8828125
11,53,19339.65625
11,59,39936.96484375
11,61,43211.31640625
11,67,65754.9140625
11,71,88725.4921875
11,73,95276.171875
11,79,128997.5234375
11,83,154296.09375
11,89,192193.78125
11,97,238591.421875
13,17,508.1492614746094
13,19,709.9024047851562
13,23,1240.1417236328125
13,29,2570.71728515625
13,31,3551.625732421875
13,37,8107.36328125
13,41,13966.046875
13,43,16773.44140625
13,47,25583.498046875
13,53,45552.56640625
13,59,80276.2265625
13,61,89969.0390625
13,67,131589.546875
13,71,157971.125
13,73,169710.78125
13,79,210316.46875
13,83,236859.5625
13,89,277081.4375
13,97,326302.34375
17,19,1488.442626953125
17,23,2874.493896484375
17,29,7670.43408203125
17,31,10417.232421875
17,37,27362.908203125
17,41,44673.140625
17,43,55022.0625
17,47,83833.71875
17,53,131725.640625
17,59,191748.78125
17,61,206066.71875
17,67,252766.640625
17,71,281673.34375
17,73,301405.625
17,79,350528.65625
17,83,381865.53125
17,89,447153.53125
17,97,532984.3125
19,23,4556.7255859375
19,29,13219.4208984375
19,31,19136.701171875
19,37,49355.3515625
19,41,75440.984375
19,43,87838.75
19,47,127402.3671875
19,53,190675.09375
19,59,240008.453125
19,61,256823.40625
19,67,313854.34375
19,71,351788.0
19,73,371567.125
19,79,1815578.25
19,83,478285.5
19,89,2261614.0
19,97,2642245.5
23,29,34351.67578125
23,31,51277.98828125
23,37,104543.0546875
23,41,146298.8125
23,43,169085.953125
